"GM"|"No "|"35125028"|"66588469"
"GP-GM"|"No "|"35125028"|"66588470"
"SM"|"No "|"35125028"|"66588471"
"SP-SM"|"No "|"35125028"|"66588472"
"SC-SM"|"Yes"|"35125028"|"66588473"
"GM"|"No "|"35125029"|"66588474"
"GP-GM"|"No "|"35125029"|"66588475"
"SM"|"No "|"35125029"|"66588476"
"SP-SM"|"No "|"35125029"|"66588477"
"GP"|"Yes"|"35125029"|"66588478"
"PT"|"Yes"|"35125030"|"66588479"
"PT"|"Yes"|"35125031"|"66588480"
"ML"|"No "|"35125032"|"66588481"
"SM"|"Yes"|"35125032"|"66588482"
"ML"|"No "|"35125033"|"66588483"
"SM"|"Yes"|"35125033"|"66588484"
"ML"|"No "|"35125034"|"66588485"
"SM"|"Yes"|"35125034"|"66588486"
"GM"|"No "|"35125035"|"66588487"
"SM"|"Yes"|"35125035"|"66588488"
"CL-ML"|"Yes"|"35125036"|"66588489"
"ML"|"No "|"35125036"|"66588490"
"OL"|"No "|"35125036"|"66588491"
"SM"|"No "|"35125036"|"66588492"
"CL-ML"|"No "|"35125037"|"66588493"
"GM"|"No "|"35125037"|"66588494"
"ML"|"No "|"35125037"|"66588495"
"SM"|"No "|"35125037"|"66588496"
"SC-SM"|"Yes"|"35125037"|"66588497"
"GC-GM"|"No "|"35125038"|"66588498"
"GM"|"No "|"35125038"|"66588499"
"ML"|"No "|"35125038"|"66588500"
"SM"|"No "|"35125038"|"66588501"
"SC-SM"|"Yes"|"35125038"|"66588502"
"GC-GM"|"No "|"35125039"|"66588503"
"GM"|"No "|"35125039"|"66588504"
"ML"|"No "|"35125039"|"66588505"
"SM"|"No "|"35125039"|"66588506"
"SC-SM"|"Yes"|"35125039"|"66588507"
"GM"|"No "|"35125040"|"66588508"
"SC"|"No "|"35125040"|"66588509"
"SM"|"No "|"35125040"|"66588510"
"SC-SM"|"Yes"|"35125040"|"66588511"
"GC"|"No "|"35125041"|"66588512"
"GC-GM"|"No "|"35125041"|"66588513"
"GM"|"No "|"35125041"|"66588514"
"SC-SM"|"Yes"|"35125041"|"66588515"
"GC"|"No "|"35125042"|"66588516"
"GC-GM"|"No "|"35125042"|"66588517"
"GM"|"No "|"35125042"|"66588518"
"SC-SM"|"Yes"|"35125042"|"66588519"
"PT"|"Yes"|"35125654"|"66589684"
"SC-SM"|"No "|"35125656"|"66589685"
"SM"|"Yes"|"35125656"|"66589686"
"PT"|"Yes"|"35125657"|"66589687"
"SC-SM"|"No "|"35125658"|"66589688"
"SM"|"Yes"|"35125658"|"66589689"
"SC-SM"|"No "|"35125659"|"66589690"
"SM"|"Yes"|"35125659"|"66589691"
"PT"|"Yes"|"35125660"|"66589692"
"SC-SM"|"No "|"35125661"|"66589693"
"SM"|"Yes"|"35125661"|"66589694"
"PT"|"Yes"|"35125662"|"66589695"
"ML"|"No "|"35125663"|"66589696"
"SM"|"Yes"|"35125663"|"66589697"
"ML"|"No "|"35125664"|"66589698"
"SM"|"Yes"|"35125664"|"66589699"
"PT"|"Yes"|"35125666"|"66589700"
"SM"|"Yes"|"35125667"|"66589701"
"ML"|"No "|"35125667"|"66589702"
"ML"|"No "|"35125668"|"66589703"
"SM"|"Yes"|"35125668"|"66589704"
"SM"|"Yes"|"35125669"|"66589705"
"ML"|"No "|"35125669"|"66589706"
"GP-GM"|"No "|"35125670"|"66589707"
"SM"|"Yes"|"35125670"|"66589708"
"SP-SM"|"No "|"35125670"|"66589709"
"GM"|"No "|"35125670"|"66589710"
"PT"|"Yes"|"35125671"|"66589711"
"SM"|"Yes"|"35125672"|"66589712"
"ML"|"No "|"35125672"|"66589713"
"ML"|"No "|"35125673"|"66589714"
"SM"|"Yes"|"35125673"|"66589715"
"ML"|"No "|"35125674"|"66589716"
"SM"|"Yes"|"35125674"|"66589717"
"ML"|"No "|"35125675"|"66589718"
"SM"|"Yes"|"35125675"|"66589719"
"SM"|"Yes"|"35125676"|"66589720"
"ML"|"No "|"35125676"|"66589721"
"ML"|"No "|"35125677"|"66589722"
"SM"|"Yes"|"35125677"|"66589723"
"PT"|"Yes"|"35125678"|"66589724"
"SM"|"Yes"|"35125679"|"66589725"
"GM"|"No "|"35125679"|"66589726"
"SP-SM"|"No "|"35125679"|"66589727"
"GP-GM"|"No "|"35125679"|"66589728"
"PT"|"Yes"|"35125680"|"66589729"
"SM"|"Yes"|"35125681"|"66589730"
"ML"|"No "|"35125681"|"66589731"
"ML"|"No "|"35125682"|"66589732"
"SM"|"Yes"|"35125682"|"66589733"
"ML"|"No "|"35125683"|"66589734"
"SM"|"Yes"|"35125683"|"66589735"
"SM"|"Yes"|"35125684"|"66589736"
"ML"|"No "|"35125684"|"66589737"
"SM"|"Yes"|"35125685"|"66589738"
"ML"|"No "|"35125685"|"66589739"
"SM"|"Yes"|"35125686"|"66589740"
"ML"|"No "|"35125686"|"66589741"
"PT"|"Yes"|"35125687"|"66589742"
"PT"|"Yes"|"35125688"|"66589743"
"PT"|"Yes"|"35125689"|"66589744"
"SC-SM"|"No "|"35125690"|"66589745"
"SM"|"Yes"|"35125690"|"66589746"
"SM"|"Yes"|"35125691"|"66589747"
"SP-SM"|"No "|"35125691"|"66589748"
"SP"|"No "|"35125691"|"66589749"
"GP"|"No "|"35125691"|"66589750"
"GM"|"No "|"35125691"|"66589751"
"GP-GM"|"No "|"35125691"|"66589752"
"GP"|"No "|"35125692"|"66589753"
"SP"|"No "|"35125692"|"66589754"
"GM"|"No "|"35125692"|"66589755"
"GP-GM"|"No "|"35125692"|"66589756"
"SM"|"Yes"|"35125692"|"66589757"
"SP-SM"|"No "|"35125692"|"66589758"
"PT"|"Yes"|"35125693"|"66589759"
"PT"|"Yes"|"35125694"|"66589760"
"ML"|"No "|"35125695"|"66589761"
"SM"|"Yes"|"35125695"|"66589762"
"ML"|"No "|"35125696"|"66589763"
"SM"|"Yes"|"35125696"|"66589764"
"ML"|"No "|"35125697"|"66589765"
"SM"|"Yes"|"35125697"|"66589766"
"SM"|"Yes"|"35125698"|"66589767"
